date,sales
2013-06-01,14.0
2013-06-02,11.0
2013-06-03,5.0
2013-06-04,27.0
2013-06-05,25.0
2013-06-06,14.0
2013-06-07,32.0
2013-06-08,10.0
2013-06-09,11.0
2013-06-10,6.0
2013-06-11,11.0
2013-06-12,17.0
2013-06-13,6.0
2013-06-14,11.0
2013-06-15,24.0
2013-06-16,45.0
2013-06-17,3.0
2013-06-18,2.0
2013-06-19,13.0
2013-06-20,16.0
2013-06-21,13.0
2013-06-22,22.0
2013-06-23,17.0
2013-06-24,17.0
2013-06-25,10.0
2013-06-26,21.0
2013-06-27,20.0
2013-06-28,2.0
2013-06-29,25.0
2013-06-30,9.0
2013-07-01,24.0
2013-07-02,5.0
2013-07-03,8.0
2013-07-04,7.0
2013-07-05,15.0
2013-07-06,17.0
2013-07-07,10.0
2013-07-08,7.0
2013-07-09,18.0
2013-07-10,10.0
2013-07-11,9.0
2013-07-12,32.0
2013-07-13,18.0
2013-07-14,23.0
2013-07-15,19.0
2013-07-16,19.0
2013-07-17,25.0
2013-07-18,9.0
2013-07-19,8.0
2013-07-20,10.0
2013-07-21,9.0
2013-07-22,8.0
2013-07-23,13.0
2013-07-24,2.0
2013-07-25,6.0
2013-07-26,15.0
2013-07-27,27.0
2013-07-28,23.0
2013-07-29,17.0
2013-07-30,16.0
2013-07-31,18.0
2013-08-01,14.0
2013-08-02,29.0
2013-08-03,21.0
2013-08-04,36.0
2013-08-05,14.0
2013-08-06,16.0
2013-08-07,19.0
2013-08-08,19.0
2013-08-09,35.0
2013-08-10,16.0
2013-08-11,13.0
2013-08-12,17.0
2013-08-13,7.0
2013-08-14,6.0
2013-08-15,14.0
2013-08-16,11.0
2013-08-17,10.0
2013-08-18,13.0
2013-08-19,8.0
2013-08-20,23.0
2013-08-21,20.0
2013-08-22,17.0
2013-08-23,14.0
2013-08-24,20.0
2013-08-25,19.0
2013-08-26,10.0
2013-08-27,10.0
2013-08-28,14.0
2013-08-29,14.0
2013-08-30,14.0
2013-08-31,19.0
2013-09-01,20.0
2013-09-02,21.0
2013-09-03,15.0
2013-09-04,9.0
2013-09-05,8.0
2013-09-06,19.0
2013-09-07,25.0
2013-09-08,42.0
2013-09-09,27.0
2013-09-10,13.0
2013-09-11,16.0
2013-09-12,15.0
2013-09-13,13.0
2013-09-14,5.0
2013-09-15,18.0
2013-09-16,32.0
2013-09-17,9.0
2013-09-18,15.0
2013-09-19,4.0
2013-09-20,33.0
2013-09-21,15.0
2013-09-22,31.0
2013-09-23,19.0
2013-09-24,7.0
2013-09-25,10.0
2013-09-26,25.0
2013-09-27,20.0
2013-09-28,25.0
2013-09-29,15.0
2013-09-30,17.0
2013-10-01,14.0
2013-10-02,13.0
2013-10-03,32.0
2013-10-04,25.0
2013-10-05,23.0
2013-10-06,19.0
2013-10-07,16.0
2013-10-08,19.0
2013-10-09,13.0
2013-10-10,26.0
2013-10-11,22.0
2013-10-12,14.0
2013-10-13,28.0
2013-10-14,17.0
2013-10-15,15.0
2013-10-16,5.0
2013-10-17,13.0
2013-10-18,8.0
2013-10-19,17.0
2013-10-20,33.0
2013-10-21,19.0
2013-10-22,10.0
2013-10-23,4.0
2013-10-24,0.0
2013-10-25,9.0
2013-10-26,2.0
2013-10-27,7.0
2013-10-28,11.0
2013-10-29,8.0
2013-10-30,9.0
2013-10-31,18.0
2013-11-01,29.0
2013-11-02,7.0
2013-11-03,28.0
2013-11-04,13.0
2013-11-05,29.0
2013-11-06,11.0
2013-11-07,16.0
2013-11-08,13.0
2013-11-09,13.0
2013-11-10,13.0
2013-11-11,4.0
2013-11-12,9.0
2013-11-13,8.0
2013-11-14,9.0
2013-11-15,11.0
2013-11-16,7.0
2013-11-17,17.0
2013-11-18,12.0
2013-11-19,19.0
2013-11-20,22.0
2013-11-21,22.0
2013-11-22,16.0
2013-11-23,16.0
2013-11-24,29.0
2013-11-25,11.0
2013-11-26,14.0
2013-11-27,14.0
2013-11-28,8.0
2013-11-29,8.0
2013-11-30,15.0
2013-12-01,16.0
2013-12-02,14.0
2013-12-03,10.0
2013-12-04,15.0
2013-12-05,5.0
2013-12-06,11.0
2013-12-07,9.0
2013-12-08,9.0
2013-12-09,13.0
2013-12-10,9.0
2013-12-11,22.0
2013-12-12,22.0
2013-12-13,7.0
2013-12-14,19.0
2013-12-15,17.0
2013-12-16,16.0
2013-12-17,26.0
2013-12-18,20.0
2013-12-19,29.0
2013-12-20,25.0
2013-12-21,22.0
2013-12-22,36.0
2013-12-23,40.0
2013-12-24,87.0
2013-12-25,19.8
2013-12-26,16.0
2013-12-27,24.0
2013-12-28,41.0
2013-12-29,39.0
2013-12-30,70.0
2013-12-31,78.0
2014-01-01,18.2
2014-01-02,28.0
2014-01-03,14.0
2014-01-04,24.0
2014-01-05,24.0
2014-01-06,13.0
2014-01-07,7.0
2014-01-08,18.0
2014-01-09,10.0
2014-01-10,13.0
2014-01-11,21.0
2014-01-12,16.0
2014-01-13,9.0
2014-01-14,11.0
2014-01-15,16.0
2014-01-16,4.0
2014-01-17,8.0
2014-01-18,19.0
2014-01-19,25.0
2014-01-20,7.0
2014-01-21,5.0
2014-01-22,15.0
2014-01-23,11.0
2014-01-24,18.0
2014-01-25,25.0
2014-01-26,39.0
2014-01-27,18.0
2014-01-28,20.0
2014-01-29,9.0
2014-01-30,9.0
2014-01-31,6.0
2014-02-01,22.0
2014-02-02,18.0
2014-02-03,11.0
2014-02-04,10.0
2014-02-05,11.0
2014-02-06,20.0
2014-02-07,9.0
2014-02-08,18.0
2014-02-09,17.0
2014-02-10,24.0
2014-02-11,27.0
2014-02-12,21.0
2014-02-13,35.0
2014-02-14,30.0
2014-02-15,20.0
2014-02-16,32.0
2014-02-17,22.0
2014-02-18,12.0
2014-02-19,9.0
2014-02-20,4.0
2014-02-21,21.0
2014-02-22,31.0
2014-02-23,29.0
2014-02-24,25.0
2014-02-25,21.0
2014-02-26,11.0
2014-02-27,16.0
2014-02-28,17.0
2014-03-01,16.0
2014-03-02,10.0
2014-03-03,7.0
2014-03-04,11.0
2014-03-05,9.0
2014-03-06,6.0
2014-03-07,111.0
2014-03-08,17.0
2014-03-09,31.0
2014-03-10,22.0
2014-03-11,19.0
2014-03-12,10.0
2014-03-13,31.0
2014-03-14,6.0
2014-03-15,15.0
2014-03-16,15.0
2014-03-17,19.0
2014-03-18,19.0
2014-03-19,13.0
2014-03-20,14.0
2014-03-21,11.0
2014-03-22,32.0
2014-03-23,17.0
2014-03-24,12.0
2014-03-25,14.0
2014-03-26,34.0
2014-03-27,8.0
2014-03-28,24.0
2014-03-29,31.0
2014-03-30,59.0
2014-03-31,16.0
2014-04-01,12.0
2014-04-02,10.0
2014-04-03,20.0
2014-04-04,16.0
2014-04-05,22.0
2014-04-06,26.0
2014-04-07,15.0
2014-04-08,14.0
2014-04-09,20.0
2014-04-10,25.0
2014-04-11,15.0
2014-04-12,11.0
2014-04-13,9.0
2014-04-14,18.0
2014-04-15,10.0
2014-04-16,23.0
2014-04-17,12.0
2014-04-18,21.0
2014-04-19,20.0
2014-04-20,27.0
2014-04-21,12.0
2014-04-22,17.0
2014-04-23,26.0
2014-04-24,16.0
2014-04-25,16.0
2014-04-26,18.0
2014-04-27,18.0
2014-04-28,19.0
2014-04-29,12.0
2014-04-30,8.0
2014-05-01,12.0
2014-05-02,14.0
2014-05-03,36.0
2014-05-04,28.0
2014-05-05,16.0
2014-05-06,10.0
2014-05-07,16.0
2014-05-08,14.0
2014-05-09,7.0
2014-05-10,34.0
2014-05-11,19.0
2014-05-12,3.0
2014-05-13,11.0
2014-05-14,5.0
2014-05-15,15.0
2014-05-16,7.0
2014-05-17,11.0
2014-05-18,43.0
2014-05-19,19.0
2014-05-20,21.0
2014-05-21,27.0
2014-05-22,18.0
2014-05-23,14.0
2014-05-24,15.0
2014-05-25,14.0
2014-05-26,11.0
2014-05-27,10.0
2014-05-28,12.0
2014-05-29,21.0
2014-05-30,14.0
2014-05-31,12.0
2014-06-01,19.0
2014-06-02,8.0
2014-06-03,17.0
2014-06-04,10.0
2014-06-05,12.0
2014-06-06,18.0
2014-06-07,22.0
2014-06-08,29.0
2014-06-09,13.0
2014-06-10,11.0
2014-06-11,12.0
2014-06-12,3.0
2014-06-13,9.0
2014-06-14,43.0
2014-06-15,32.0
2014-06-16,18.0
2014-06-17,19.0
2014-06-18,20.0
2014-06-19,12.0
2014-06-20,19.0
2014-06-21,28.0
2014-06-22,21.0
2014-06-23,20.0
2014-06-24,19.0
2014-06-25,10.0
2014-06-26,15.0
2014-06-27,16.0
2014-06-28,21.0
2014-06-29,26.0
2014-06-30,23.0
2014-07-01,12.0
2014-07-02,20.0
2014-07-03,31.0
2014-07-04,22.0
2014-07-05,21.0
2014-07-06,36.0
2014-07-07,22.0
2014-07-08,16.0
2014-07-09,18.0
2014-07-10,16.0
2014-07-11,12.0
2014-07-12,10.0
2014-07-13,14.0
2014-07-14,4.0
2014-07-15,11.0
2014-07-16,23.0
2014-07-17,14.0
2014-07-18,18.0
2014-07-19,22.0
2014-07-20,12.0
2014-07-21,23.0
2014-07-22,19.0
2014-07-23,20.0
2014-07-24,30.0
2014-07-25,9.0
2014-07-26,19.0
2014-07-27,22.0
2014-07-28,14.0
2014-07-29,14.0
2014-07-30,17.0
2014-07-31,7.0
2014-08-01,18.0
2014-08-02,20.0
2014-08-03,31.0
2014-08-04,13.0
2014-08-05,16.0
2014-08-06,14.0
2014-08-07,21.0
2014-08-08,12.0
2014-08-09,13.0
2014-08-10,12.0
2014-08-11,10.0
2014-08-12,14.0
2014-08-13,23.0
2014-08-14,28.0
2014-08-15,17.0
2014-08-16,31.0
2014-08-17,21.0
2014-08-18,7.0
2014-08-19,22.0
2014-08-20,21.0
2014-08-21,18.0
2014-08-22,17.0
2014-08-23,37.0
2014-08-24,35.0
2014-08-25,15.0
2014-08-26,18.0
2014-08-27,14.0
2014-08-28,24.0
2014-08-29,8.0
2014-08-30,13.0
2014-08-31,22.0
2014-09-01,29.0
2014-09-02,23.0
2014-09-03,23.0
2014-09-04,15.0
2014-09-05,7.0
2014-09-06,12.0
2014-09-07,31.0
2014-09-08,14.0
2014-09-09,16.0
2014-09-10,11.0
2014-09-11,13.0
2014-09-12,12.0
2014-09-13,21.0
2014-09-14,33.0
2014-09-15,22.0
2014-09-16,21.0
2014-09-17,10.0
2014-09-18,11.0
2014-09-19,14.0
2014-09-20,15.0
2014-09-21,50.0
2014-09-22,19.0
2014-09-23,32.0
2014-09-24,16.0
2014-09-25,13.0
2014-09-26,33.0
2014-09-27,20.0
2014-09-28,15.0
2014-09-29,11.0
2014-09-30,9.0
2014-10-01,17.0
2014-10-02,32.0
2014-10-03,14.0
2014-10-04,29.0
2014-10-05,19.0
2014-10-06,13.0
2014-10-07,40.0
2014-10-08,19.0
2014-10-09,11.0
2014-10-10,20.0
2014-10-11,15.0
2014-10-12,42.0
2014-10-13,17.0
2014-10-14,11.0
2014-10-15,18.0
2014-10-16,9.0
2014-10-17,10.0
2014-10-18,18.0
2014-10-19,39.0
2014-10-20,24.0
2014-10-21,9.0
2014-10-22,16.0
2014-10-23,11.0
2014-10-24,12.0
2014-10-25,13.0
2014-10-26,22.0
2014-10-27,6.0
2014-10-28,15.0
2014-10-29,19.0
2014-10-30,6.0
2014-10-31,17.0
2014-11-01,8.0
2014-11-02,8.0
2014-11-03,24.0
2014-11-04,12.0
2014-11-05,27.0
2014-11-06,13.0
2014-11-07,13.0
2014-11-08,8.0
2014-11-09,19.0
2014-11-10,10.0
2014-11-11,27.0
2014-11-12,7.0
2014-11-13,13.0
2014-11-14,19.0
2014-11-15,42.0
2014-11-16,53.0
2014-11-17,19.0
2014-11-18,22.0
2014-11-19,10.0
2014-11-20,22.0
2014-11-21,13.0
2014-11-22,7.0
2014-11-23,24.0
2014-11-24,10.0
2014-11-25,11.0
2014-11-26,20.0
2014-11-27,26.0
2014-11-28,16.0
2014-11-29,25.0
2014-11-30,48.0
2014-12-01,30.0
2014-12-02,16.0
2014-12-03,30.0
2014-12-04,18.0
2014-12-05,18.0
2014-12-06,12.0
2014-12-07,37.0
2014-12-08,15.0
2014-12-09,24.0
2014-12-10,25.0
2014-12-11,15.0
2014-12-12,15.0
2014-12-13,24.0
2014-12-14,25.0
2014-12-15,34.0
2014-12-16,25.0
2014-12-17,32.0
2014-12-18,18.0
2014-12-19,28.0
2014-12-20,28.0
2014-12-21,15.0
2014-12-22,29.0
2014-12-23,97.0
2014-12-24,50.0
2014-12-25,20.7
2014-12-26,32.0
2014-12-27,29.0
2014-12-28,19.0
2014-12-29,47.0
2014-12-30,36.0
2014-12-31,116.0
2015-01-01,23.7
2015-01-02,37.0
2015-01-03,21.0
2015-01-04,46.0
2015-01-05,21.0
2015-01-06,32.0
2015-01-07,16.0
2015-01-08,29.0
2015-01-09,21.0
2015-01-10,22.0
2015-01-11,35.0
2015-01-12,15.0
2015-01-13,20.0
2015-01-14,11.0
2015-01-15,19.0
2015-01-16,21.0
2015-01-17,46.0
2015-01-18,45.0
2015-01-19,27.0
2015-01-20,20.0
2015-01-21,45.0
2015-01-22,14.0
2015-01-23,13.0
2015-01-24,19.0
2015-01-25,40.0
2015-01-26,26.0
2015-01-27,17.0
2015-01-28,19.0
2015-01-29,4.0
2015-01-30,15.0
2015-01-31,16.0
2015-02-01,36.0
2015-02-02,17.0
2015-02-03,23.0
2015-02-04,18.0
2015-02-05,25.0
2015-02-06,7.0
2015-02-07,16.0
2015-02-08,51.0
2015-02-09,15.0
2015-02-10,10.0
2015-02-11,12.0
2015-02-12,31.0
2015-02-13,24.0
2015-02-14,14.0
2015-02-15,18.0
2015-02-16,21.0
2015-02-17,30.0
2015-02-18,28.0
2015-02-19,9.0
2015-02-20,12.0
2015-02-21,37.0
2015-02-22,37.0
2015-02-23,16.0
2015-02-24,26.0
2015-02-25,10.0
2015-02-26,11.0
2015-02-27,8.0
2015-02-28,21.0
2015-03-01,36.0
2015-03-02,19.0
2015-03-03,25.0
2015-03-04,32.0
2015-03-05,15.0
2015-03-06,10.0
2015-03-07,24.0
2015-03-08,15.0
2015-03-09,30.0
2015-03-10,20.0
2015-03-11,12.0
2015-03-12,18.0
2015-03-13,11.0
2015-03-14,19.0
2015-03-15,33.0
2015-03-16,21.0
2015-03-17,19.0
2015-03-18,10.0
2015-03-19,21.0
2015-03-20,16.0
2015-03-21,23.0
2015-03-22,10.0
2015-03-23,10.0
2015-03-24,18.0
2015-03-25,40.0
2015-03-26,19.0
2015-03-27,14.0
2015-03-28,47.0
2015-03-29,20.0
2015-03-30,19.0
2015-03-31,23.0
2015-04-01,22.0
2015-04-02,13.0
2015-04-03,13.0
2015-04-04,18.0
2015-04-05,27.0
2015-04-06,24.0
2015-04-07,29.0
2015-04-08,24.0
2015-04-09,15.0
2015-04-10,17.0
2015-04-11,28.0
2015-04-12,30.0
2015-04-13,18.0
2015-04-14,34.0
2015-04-15,21.0
2015-04-16,19.0
2015-04-17,21.0
2015-04-18,8.0
2015-04-19,33.0
2015-04-20,25.0
2015-04-21,29.0
2015-04-22,20.0
2015-04-23,15.0
2015-04-24,17.0
2015-04-25,15.0
2015-04-26,31.0
2015-04-27,12.0
2015-04-28,8.0
2015-04-29,14.0
2015-04-30,26.0
2015-05-01,35.0
2015-05-02,38.0
2015-05-03,61.0
2015-05-04,20.0
2015-05-05,18.0
2015-05-06,23.0
2015-05-07,22.0
2015-05-08,25.0
2015-05-09,30.0
2015-05-10,40.0
2015-05-11,13.0
2015-05-12,28.0
2015-05-13,19.0
2015-05-14,19.0
2015-05-15,21.0
2015-05-16,21.0
2015-05-17,57.0
2015-05-18,18.0
2015-05-19,11.0
2015-05-20,28.0
2015-05-21,13.0
2015-05-22,24.0
2015-05-23,19.0
2015-05-24,34.0
2015-05-25,13.0
2015-05-26,6.0
2015-05-27,12.0
2015-05-28,12.0
2015-05-29,18.0
2015-05-30,11.0
2015-05-31,20.0
2015-06-01,22.0
2015-06-02,7.0
2015-06-03,6.0
2015-06-04,19.0
2015-06-05,7.0
2015-06-06,15.0
2015-06-07,38.0
2015-06-08,15.0
2015-06-09,14.0
2015-06-10,10.0
2015-06-11,11.0
2015-06-12,31.0
2015-06-13,18.0
2015-06-14,33.0
2015-06-15,10.0
2015-06-16,14.0
2015-06-17,30.0
2015-06-18,11.0
2015-06-19,2.0
2015-06-20,14.0
2015-06-21,11.0
2015-06-22,26.0
2015-06-23,39.0
2015-06-24,12.0
2015-06-25,28.0
2015-06-26,23.0
2015-06-27,22.0
2015-06-28,22.0
2015-06-29,18.0
2015-06-30,8.0
2015-07-01,12.0
2015-07-02,21.0
2015-07-03,12.0
2015-07-04,14.0
2015-07-05,2.0
2015-07-06,1.0
2015-07-07,10.0
2015-07-08,30.0
2015-07-09,23.0
2015-07-10,17.0
2015-07-11,27.0
2015-07-12,36.0
2015-07-13,20.0
2015-07-14,19.0
2015-07-15,15.0
2015-07-16,14.0
2015-07-17,20.0
2015-07-18,43.0
2015-07-19,33.0
2015-07-20,25.0
2015-07-21,31.0
2015-07-22,23.0
2015-07-23,27.0
2015-07-24,52.0
2015-07-25,11.0
2015-07-26,21.0
2015-07-27,26.0
2015-07-28,13.0
2015-07-29,20.0
2015-07-30,14.0
2015-07-31,30.0
2015-08-01,22.0
2015-08-02,42.0
2015-08-03,17.0
2015-08-04,31.0
2015-08-05,14.0
2015-08-06,12.0
2015-08-07,18.0
2015-08-08,17.0
2015-08-09,34.0
2015-08-10,22.0
2015-08-11,15.0
2015-08-12,18.0
2015-08-13,28.0
2015-08-14,22.0
2015-08-15,36.0
2015-08-16,36.0
2015-08-17,26.0
2015-08-18,13.0
2015-08-19,20.0
2015-08-20,10.0
2015-08-21,10.0
2015-08-22,27.0
2015-08-23,19.0
2015-08-24,17.0
2015-08-25,12.0
2015-08-26,20.0
2015-08-27,14.0
2015-08-28,26.0
2015-08-29,27.0
2015-08-30,31.0
2015-08-31,10.0
2015-09-01,13.0
2015-09-02,37.0
2015-09-03,13.0
2015-09-04,20.0
2015-09-05,19.0
2015-09-06,33.0
2015-09-07,12.0
2015-09-08,13.0
2015-09-09,25.0
2015-09-10,21.0
2015-09-11,12.0
2015-09-12,21.0
2015-09-13,46.0
2015-09-14,17.0
2015-09-15,8.0
2015-09-16,9.0
2015-09-17,23.0
2015-09-18,20.0
2015-09-19,8.0
2015-09-20,34.0
2015-09-21,15.0
2015-09-22,25.0
2015-09-23,17.0
2015-09-24,40.0
2015-09-25,7.0
2015-09-26,25.0
2015-09-27,22.0
2015-09-28,20.0
2015-09-29,25.0
2015-09-30,5.0
2015-10-01,11.0
2015-10-02,28.0
2015-10-03,24.0
2015-10-04,47.0
2015-10-05,20.0
2015-10-06,26.0
2015-10-07,16.0
2015-10-08,8.0
2015-10-09,7.0
2015-10-10,24.0
2015-10-11,27.0
2015-10-12,13.0
2015-10-13,30.0
2015-10-14,25.0
2015-10-15,12.0
2015-10-16,15.0
2015-10-17,12.0
2015-10-18,42.0
2015-10-19,55.0
2015-10-20,19.0
2015-10-21,23.0
2015-10-22,21.0
2015-10-23,12.0
2015-10-24,31.0
2015-10-25,28.0
2015-10-26,28.0
2015-10-27,14.0
2015-10-28,17.0
2015-10-29,5.0
2015-10-30,10.0
2015-10-31,22.0
2015-11-01,25.0
2015-11-02,21.0
2015-11-03,11.0
2015-11-04,19.0
2015-11-05,8.0
2015-11-06,12.0
2015-11-07,16.0
2015-11-08,27.0
2015-11-09,19.0
2015-11-10,16.0
2015-11-11,17.0
2015-11-12,10.0
2015-11-13,22.0
2015-11-14,32.0
2015-11-15,27.0
2015-11-16,16.0
2015-11-17,18.0
2015-11-18,16.0
2015-11-19,18.0
2015-11-20,51.0
2015-11-21,11.0
2015-11-22,29.0
2015-11-23,25.0
2015-11-24,15.0
2015-11-25,14.0
2015-11-26,22.0
2015-11-27,12.0
2015-11-28,35.0
2015-11-29,15.0
2015-11-30,12.0
2015-12-01,20.0
2015-12-02,27.0
2015-12-03,15.0
2015-12-04,20.0
2015-12-05,22.0
2015-12-06,24.0
2015-12-07,22.0
2015-12-08,18.0
2015-12-09,11.0
2015-12-10,14.0
2015-12-11,16.0
2015-12-12,16.0
2015-12-13,26.0
2015-12-14,29.0
2015-12-15,27.0
2015-12-16,37.0
2015-12-17,20.0
2015-12-18,56.0
2015-12-19,31.0
2015-12-20,32.0
2015-12-21,52.0
2015-12-22,91.0
2015-12-23,84.0
2015-12-24,95.0
2015-12-25,39.6
2015-12-26,39.0
2015-12-27,15.0
2015-12-28,30.0
2015-12-29,40.0
2015-12-30,62.0
2015-12-31,70.0
2016-01-01,33.2
2016-01-02,19.0
2016-01-03,49.0
2016-01-04,16.0
2016-01-05,12.0
2016-01-06,13.0
2016-01-07,15.0
2016-01-08,28.0
2016-01-09,21.0
2016-01-10,26.0
2016-01-11,20.0
2016-01-12,22.0
2016-01-13,6.0
2016-01-14,17.0
2016-01-15,12.0
2016-01-16,17.0
2016-01-17,31.0
2016-01-18,45.0
2016-01-19,9.0
2016-01-20,5.0
2016-01-21,23.0
2016-01-22,25.0
2016-01-23,24.0
2016-01-24,23.0
2016-01-25,8.0
2016-01-26,16.0
2016-01-27,15.0
2016-01-28,9.0
2016-01-29,24.0
2016-01-30,32.0
2016-01-31,34.0
2016-02-01,17.0
2016-02-02,16.0
2016-02-03,12.0
2016-02-04,14.0
2016-02-05,13.0
2016-02-06,30.0
2016-02-07,9.0
2016-02-08,13.0
2016-02-09,20.0
2016-02-10,15.0
2016-02-11,9.0
2016-02-12,27.0
2016-02-13,24.0
2016-02-14,17.0
2016-02-15,19.0
2016-02-16,5.0
2016-02-17,10.0
2016-02-18,11.0
2016-02-19,12.0
2016-02-20,7.0
2016-02-21,4.0
2016-02-22,12.0
2016-02-23,18.0
2016-02-24,17.0
2016-02-25,25.0
2016-02-26,12.0
2016-02-27,27.0
2016-02-28,34.0
2016-02-29,15.0
2016-03-01,11.0
2016-03-02,10.0
2016-03-03,25.0
2016-03-04,6.0
2016-03-05,16.0
2016-03-06,24.0
2016-03-07,28.0
2016-03-08,10.0
2016-03-09,8.0
2016-03-10,8.0
2016-03-11,12.0
2016-03-12,26.0
2016-03-13,22.0
2016-03-14,16.0
2016-03-15,13.0
2016-03-16,14.0
2016-03-17,21.0
2016-03-18,17.0
2016-03-19,21.0
2016-03-20,22.0
2016-03-21,13.0
2016-03-22,25.0
2016-03-23,21.0
2016-03-24,16.0
2016-03-25,20.0
2016-03-26,23.0
2016-03-27,37.0
2016-03-28,20.0
2016-03-29,8.0
2016-03-30,29.0
2016-03-31,19.0
2016-04-01,29.0
2016-04-02,37.0
2016-04-03,38.0
2016-04-04,18.0
2016-04-05,7.0
2016-04-06,23.0
2016-04-07,22.0
2016-04-08,29.0
2016-04-09,26.0
2016-04-10,24.0
2016-04-11,22.0
2016-04-12,14.0
2016-04-13,25.0
2016-04-14,17.0
2016-04-15,27.0
2016-04-16,16.0
2016-04-17,35.0
2016-04-18,18.0
2016-04-19,26.0
2016-04-20,20.0
2016-04-21,14.0
2016-04-22,19.0
2016-04-23,34.0
2016-04-24,28.0
2016-04-25,7.0
2016-04-26,11.0
2016-04-27,10.0
2016-04-28,35.0
2016-04-29,12.0
2016-04-30,46.0
2016-05-01,34.0
2016-05-02,12.0
2016-05-03,17.0
2016-05-04,17.0
2016-05-05,23.0
2016-05-06,31.0
2016-05-07,45.0
2016-05-08,21.0
2016-05-09,26.0
2016-05-10,6.0
2016-05-11,33.0
2016-05-12,21.0
2016-05-13,24.0
2016-05-14,15.0
2016-05-15,38.0
2016-05-16,31.0
2016-05-17,11.0
2016-05-18,17.0
2016-05-19,14.0
2016-05-20,17.0
2016-05-21,22.0
2016-05-22,41.0
2016-05-23,23.0
2016-05-24,16.0
2016-05-25,23.0
2016-05-26,35.0
2016-05-27,31.0
2016-05-28,22.0
2016-05-29,20.0
2016-05-30,17.0
2016-05-31,21.0
2016-06-01,7.0
2016-06-02,16.0
2016-06-03,16.0
2016-06-04,14.0
2016-06-05,32.0
2016-06-06,19.0
2016-06-07,3.0
2016-06-08,19.0
2016-06-09,18.0
2016-06-10,41.0
2016-06-11,29.0
2016-06-12,29.0
2016-06-13,18.0
2016-06-14,13.0
2016-06-15,20.0
2016-06-16,27.0
2016-06-17,18.0
2016-06-18,40.0
2016-06-19,28.0
2016-06-20,15.0
2016-06-21,17.0
2016-06-22,12.0
2016-06-23,30.0
2016-06-24,9.0
2016-06-25,12.0
